Model,Test_accuracy,Test_precision,Test_recall,Test_specificity,Test_f1,Test_auc,CV_accuracy,CV_precision,CV_recall,CV_f1,CV_auc
LogisticRegression,0.785,0.7857142857142857,0.7252747252747253,0.8348623853211009,0.7542857142857143,0.8720637161004133,0.672897227200742,0.43039002106099195,0.4268313259135904,0.39336602955735095,
XGBoost,0.785,0.8636363636363636,0.6263736263736264,0.9174311926605505,0.7261146496815286,0.8814396612561749,0.7129372911346286,0.36515654129165276,0.25279935860984065,0.25639371808102457,
SVM,0.77,0.8688524590163934,0.5824175824175825,0.926605504587156,0.6973684210526315,0.8546224417784052,0.7355571847946789,0.3910545988083582,0.36955725937371225,0.3404801747734962,
GradientBoosting,0.77,0.835820895522388,0.6153846153846154,0.8990825688073395,0.7088607594936709,0.8861780421413448,0.7322076905165354,0.399277541241827,0.2783363564212746,0.28097092597263557,
RandomForest,0.725,0.8461538461538461,0.4835164835164835,0.926605504587156,0.6153846153846154,0.8770037302147393,0.7357704043166348,0.38736291851423427,0.2553752568790163,0.2660898614000907,
