Model,Test_accuracy,Test_precision,Test_recall,Test_specificity,Test_f1,Test_auc
CNN1D,0.7673267326732673,0.6666666666666666,0.8536585365853658,0.7083333333333334,0.7486631016042781,0.8049796747967479
LSTM,0.594059405940594,0.0,0.0,1.0,0.0,0.4190548780487805
CNN_LSTM,0.5445544554455446,0.47023809523809523,0.9634146341463414,0.25833333333333336,0.632,0.7765243902439024
